16 
#
# random, bit, bit, bit, bit, 1, 0
#
0 1 0 0 0 1 0	0 1 0 0 0 1 0 
0 0 1 0 0 1 0	0 0 1 0 0 1 0 
0 0 0 1 0 1 0	0 0 0 1 0 1 0 
0 0 0 0 1 1 0	0 0 0 0 1 1 0 
0 1 0 0 0 1 0	1 1 0 0 0 1 0 
0 0 1 0 0 1 0	1 0 1 0 0 1 0 
0 0 0 1 0 1 0	1 0 0 1 0 1 0 
0 0 0 0 1 1 0	1 0 0 0 1 1 0 
1 1 0 0 0 1 0	0 1 0 0 0 1 0 
1 0 1 0 0 1 0	0 0 1 0 0 1 0 
1 0 0 1 0 1 0	0 0 0 1 0 1 0 
1 0 0 0 1 1 0	0 0 0 0 1 1 0 
1 1 0 0 0 1 0	1 1 0 0 0 1 0 
1 0 1 0 0 1 0	1 0 1 0 0 1 0 
1 0 0 1 0 1 0	1 0 0 1 0 1 0 
1 0 0 0 1 1 0	1 0 0 0 1 1 0 
